data,altura_prevista_cm,nivel_alerta,id_regiao,inclinacao_graus,area_de_risco
2026-08-17,4.29,baixo,RA-01,4.5,baixo
2026-08-24,4.91,baixo,RA-01,4.5,baixo
2026-08-31,5.59,baixo,RA-01,4.5,baixo
2026-09-07,6.58,baixo,RA-01,4.5,baixo
2026-09-14,7.55,medio,RA-01,4.5,baixo
2026-09-21,8.38,medio,RA-01,4.5,baixo
2026-09-28,9.34,medio,RA-01,4.5,baixo
2026-10-05,10.38,alto,RA-01,4.5,baixo
2026-10-12,11.42,alto,RA-01,4.5,baixo
2026-10-19,12.45,alto,RA-01,4.5,baixo
2026-10-26,13.49,alto,RA-01,4.5,baixo
2026-11-02,14.6,alto,RA-01,4.5,baixo
2026-08-17,4.17,baixo,RA-02,9.2,medio
2026-08-24,4.89,baixo,RA-02,9.2,medio
2026-08-31,5.69,baixo,RA-02,9.2,medio
2026-09-07,6.77,baixo,RA-02,9.2,medio
2026-09-14,7.84,medio,RA-02,9.2,medio
2026-09-21,8.77,medio,RA-02,9.2,medio
2026-09-28,9.82,medio,RA-02,9.2,medio
2026-10-05,10.97,alto,RA-02,9.2,medio
2026-10-12,12.12,alto,RA-02,9.2,medio
2026-10-19,13.26,alto,RA-02,9.2,medio
2026-10-26,14.41,alto,RA-02,9.2,medio
2026-11-02,15.63,alto,RA-02,9.2,medio
2026-08-17,4.23,baixo,RA-03,11.8,medio
2026-08-24,5.11,baixo,RA-03,11.8,medio
2026-08-31,6.05,baixo,RA-03,11.8,medio
2026-09-07,7.32,medio,RA-03,11.8,medio
2026-09-14,8.56,medio,RA-03,11.8,medio
2026-09-21,9.75,medio,RA-03,11.8,medio
2026-09-28,11.05,alto,RA-03,11.8,medio
2026-10-05,12.55,alto,RA-03,11.8,medio
2026-10-12,14.05,alto,RA-03,11.8,medio
2026-10-19,15.55,alto,RA-03,11.8,medio
2026-10-26,17.05,alto,RA-03,11.8,medio
2026-11-02,18.53,alto,RA-03,11.8,medio
2026-08-17,4.31,baixo,RA-04,22.3,alto
2026-08-24,4.97,baixo,RA-04,22.3,alto
2026-08-31,5.69,baixo,RA-04,22.3,alto
2026-09-07,6.69,baixo,RA-04,22.3,alto
2026-09-14,7.66,medio,RA-04,22.3,alto
2026-09-21,8.49,medio,RA-04,22.3,alto
2026-09-28,9.45,medio,RA-04,22.3,alto
2026-10-05,10.49,alto,RA-04,22.3,alto
2026-10-12,11.52,alto,RA-04,22.3,alto
2026-10-19,12.55,alto,RA-04,22.3,alto
2026-10-26,13.59,alto,RA-04,22.3,alto
2026-11-02,14.69,alto,RA-04,22.3,alto
